iter	RMSE
0	899.149039
1	853.1257551
2	810.3541482
3	772.51937
4	738.3658621
5	711.1033703
6	688.1668459
7	667.0326066
8	648.3868865
9	630.9794573
10	614.9134445
11	602.5816728
12	592.0392578
13	582.0550036
14	573.5438226
15	565.8583273
16	559.5940778
17	553.9510357
18	548.9417896
19	543.5563589
20	539.1740858
21	534.7987928
22	531.8706298
23	528.9864285
24	526.2285938
25	523.7664544
26	521.6470562
27	519.1444283
28	516.454832
29	514.3940265
30	512.0807877
31	510.6640797
32	508.9435228
33	507.8631211
34	506.5811534
35	504.2433482
36	502.2683658
37	501.2030968
38	500.2044808
39	498.8245941
40	497.3842919
41	496.3304267
42	495.5059477
43	493.9320786
44	493.2546963
45	492.0556132
46	491.0848909
47	489.7340318
48	488.703723
49	488.260891
50	487.1974498
51	486.6625929
52	485.948036
53	485.0792767
54	484.3543094
55	483.4239781
56	482.6984355
57	481.9116141
58	480.9946592
59	480.2657034
60	479.3994071
61	478.9356345
62	477.8060253
63	476.5276425
64	476.0827457
65	475.7113534
66	474.6740628
67	473.8562902
68	473.0447874
69	472.5947563
70	472.0744996
71	471.4316764
72	470.5318579
73	469.650149
74	469.1802993
75	468.5556419
76	467.9525621
77	467.4432702
78	467.3472244
79	466.3102785
80	465.2891232
81	464.6261045
82	463.3734226
83	462.4786204
84	462.0214291
85	461.2479891
86	460.3156831
87	460.0722792
88	458.9384002
89	458.1318025
90	457.4335118
91	456.6759843
92	456.2511505
93	455.3698348
94	454.7048091
95	454.0765397
96	453.4304779
97	452.7199705
98	451.9648054
99	450.9005712
100	450.061582
101	449.1245707
102	448.120169
103	447.122069
104	445.8931663
105	445.1516147
106	444.5051086
107	444.1389652
108	443.2965495
109	442.5850897
110	442.0476982
111	441.5634585
112	440.8855442
113	440.2318318
114	439.6355465
115	439.1779047
116	438.4182793
117	437.9647877
118	436.769717
119	436.2024409
120	435.82072
121	434.7808571
122	434.1871535
123	433.2582805
124	432.7821271
125	432.53161
126	431.9128752
127	431.079769
128	430.3317055
129	429.8749121
130	429.2398613
131	428.2601037
132	427.8446114
133	427.205052
134	426.4581811
135	425.468271
136	425.0513467
137	424.6365722
138	423.7777875
139	423.6820048
140	423.1923587
141	422.5519379
142	422.2507179
143	422.0754538
144	421.3868714
145	421.095019
146	420.6242308
147	420.1514783
148	419.7853697
149	419.0135706
150	418.8999077
151	418.1408076
152	417.6457784
153	416.8866052
154	416.1839296
155	416.0970758
156	415.6270966
157	415.0513168
158	414.7035498
159	414.2166858
160	413.7568509
161	413.0042815
162	412.6288616
163	412.2101963
164	411.8989081
165	411.5182047
166	411.4102245
167	411.0849139
168	410.554241
169	410.4412095
170	409.5242832
171	408.9854728
172	408.7955084
173	408.0974201
174	407.3127581
175	406.408339
176	406.0716199
177	405.5684429
178	405.3537013
179	405.3101239
180	404.8008719
181	404.5797797
182	404.1242613
183	403.6261129
184	403.5540885
185	403.3277162
186	403.2424054
187	402.4271764
188	401.9031096
189	401.7185001
190	401.6241472
191	401.0562808
192	400.6668188
193	400.3111777
194	399.7930476
195	399.5548654
196	399.2973726
197	398.769542
198	398.5670625
199	398.116655
