iter	Passed	Remaining
0	6	1335
1	12	1282
2	18	1235
3	24	1209
4	31	1217
5	37	1215
6	44	1218
7	50	1210
8	57	1216
9	63	1212
10	70	1208
11	76	1197
12	82	1190
13	88	1181
14	95	1183
15	102	1178
16	108	1171
17	115	1167
18	122	1162
19	128	1154
20	135	1150
21	141	1147
22	148	1142
23	155	1136
24	162	1136
25	168	1129
26	175	1125
27	181	1117
28	188	1110
29	194	1101
30	200	1093
31	206	1085
32	213	1078
33	219	1070
34	225	1063
35	231	1055
36	237	1047
37	243	1039
38	250	1034
39	256	1026
40	262	1016
41	265	998
42	271	991
43	277	985
44	283	978
45	290	971
46	296	965
47	302	958
48	309	952
49	315	946
50	321	939
51	327	933
52	333	926
53	340	919
54	346	913
55	352	907
56	359	901
57	365	895
58	372	889
59	378	883
60	384	877
61	390	870
62	397	863
63	403	857
64	409	851
65	413	838
66	419	833
67	426	827
68	432	821
69	438	815
70	445	809
71	451	802
72	457	796
73	464	790
74	470	784
75	477	778
76	483	771
77	489	765
78	495	758
79	501	751
80	504	740
81	510	734
82	516	728
83	522	722
84	529	715
85	535	709
86	540	702
87	547	696
88	553	690
89	559	683
90	565	677
91	571	670
92	577	664
93	583	658
94	589	651
95	595	645
96	601	639
97	607	632
98	614	626
99	620	620
100	626	614
101	633	608
102	639	601
103	645	595
104	651	589
105	657	583
106	663	576
107	669	570
108	675	564
109	681	557
110	687	551
111	693	545
112	699	538
113	705	531
114	710	525
115	716	519
116	722	512
117	728	506
118	735	500
119	741	494
120	747	488
121	754	482
122	760	476
123	766	469
124	772	463
125	778	457
126	784	451
127	791	445
128	797	438
129	802	432
130	809	426
131	815	420
132	822	414
133	828	408
134	835	402
135	841	395
136	847	389
137	853	383
138	859	377
139	865	371
140	871	364
141	878	358
142	884	352
143	890	346
144	897	340
145	903	334
146	909	328
147	915	321
148	922	315
149	928	309
150	934	303
151	941	297
152	947	290
153	953	284
154	959	278
155	966	272
156	972	266
157	979	260
158	985	254
159	991	247
160	997	241
161	1003	235
162	1009	229
163	1015	222
164	1021	216
165	1027	210
166	1033	204
167	1040	198
168	1045	191
169	1051	185
170	1057	179
171	1063	173
172	1069	166
173	1075	160
174	1081	154
175	1087	148
176	1093	142
177	1099	135
178	1105	129
179	1110	123
180	1117	117
181	1123	111
182	1129	104
183	1135	98
184	1139	92
185	1146	86
186	1152	80
187	1158	73
188	1164	67
189	1170	61
190	1175	55
191	1181	49
192	1187	43
193	1193	36
194	1199	30
195	1206	24
196	1211	18
197	1217	12
198	1223	6
199	1229	0
